season,week,home_team,away_team,ewma_dynamic_window_rushing_offense_adjusted_home,ewma_dynamic_window_passing_offense_adjusted_home,ewma_dynamic_window_rushing_defense_adjusted_home,ewma_dynamic_window_passing_defense_adjusted_home,ewma_dynamic_window_rushing_offense_adjusted_away,ewma_dynamic_window_passing_offense_adjusted_away,ewma_dynamic_window_rushing_defense_adjusted_away,ewma_dynamic_window_passing_defense_adjusted_away
2022,15,SEA,SF,-0.060753333,0.094115281,-0.013019681,0.103270885,-0.03682744,0.138185131,-0.125094023,-0.025055838
2022,15,MIN,IND,-0.05670451,-0.006814192,-0.045280452,0.094777306,-0.079442846,-0.163125495,0.008223778,-0.123605517
2022,15,CLE,BAL,-0.022296493,-0.024644012,0.07318334,0.012994393,0.074972696,-0.034563037,-0.148376823,0.099552827
2022,15,BUF,MIA,0.018056421,0.172387946,-0.080871887,0.079144682,-0.102974845,0.103362659,-0.016698201,0.024528138
2022,15,CHI,PHI,0.096950818,-0.097282877,0.046280102,0.129149471,0.123660368,0.068568892,0.002236881,-0.016944465
2022,15,NYJ,DET,-0.011280135,-0.080422071,0.007587615,-0.006241211,-0.029326857,0.110018637,0.058717275,0.140014279
2022,15,CAR,PIT,-0.024845263,-0.163352967,-0.037295828,0.036688657,0.053430732,-0.035130718,-0.043403435,0.082539028
2022,15,HOU,KC,-0.106253218,-0.255714529,-0.024629051,0.07693282,0.018482509,0.253496186,-0.035385657,0.114382737
2022,15,NO,ATL,-0.135231364,-0.040495387,0.012095231,-0.074606541,0.091537137,-0.098887803,0.069703146,0.007737113
2022,15,JAX,DAL,-0.113287111,0.046350016,-0.067911635,0.230926871,0.09337631,0.138677193,-0.013402256,-0.119237964
2022,15,DEN,ARI,-0.13097695,-0.05321834,-0.020225921,0.001147975,-0.063266442,-0.007505582,-0.023175771,0.114201538
2022,15,LV,NE,-0.048630742,0.044158072,-0.05272017,0.187962646,-0.075590109,-0.044345254,-0.124774601,-0.007380594
2022,15,LAC,TEN,-0.052503572,3.56E-05,0.057362417,0.107386289,-0.097697739,-0.014815446,-0.108792939,0.104920788
2022,15,TB,CIN,-0.096657395,0.054320859,-0.070062709,0.051162565,0.016632529,0.17696467,0.039500407,0.088445128
2022,15,WAS,NYG,0.051180758,-0.124781181,-0.036707074,-0.164126811,-0.031651104,-0.024400279,0.042426238,0.109025464
2022,15,GB,LA,0.060498809,0.013675544,0.135271305,-0.037095184,-0.068602517,-0.113010628,-0.0878781,0.135633602
